product_version,match_count
MS-SQL Server 2019 RTM,26534
MS-SQL Server 2022 RTM,22011
MS-SQL Server 2008 R2 RTM,21223
MS-SQL Server 2014 RTM,14976
MS-SQL Server 2017 RTM,10381
MS-SQL Server 2012 RTM,9270
MS-SQL Server 2008 R2 SP2RTW/PCU2,8967
MS-SQL Server 2019 GDR,7265
MS-SQL Server 2000 SP4,4694
MS-SQL Server 2019 GDR+,4680
MS-SQL Server 2016 RTM,4150
MS-SQL Server 2022 GDR,3498
MS-SQL Server 2017 GDR,3411
MS-SQL Server 2012 SP1RTW/PCU1+,2837
MS-SQL Server 2025 RTM/GA,2682
MS-SQL Server 2008 RTM,2621
MS-SQL Server 2014 SP1RTW/PCU1,2418
MS-SQL Server 2014 SP2RTW/PCU2,2380
MS-SQL Server 2014 SP3RTW/PCU3,2279
MS-SQL Server 2016 SP1RTW/PCU1,2221
MS-SQL Server 2016 SP2RTW/PCU2,2218
MS-SQL Server 2022 GDR+,2195
MS-SQL Server 2012 SP3RTW/PCU3,2027
MS-SQL Server 2005 SP4RTW/PCU4,2021
MS-SQL Server 2019 CU32+GDR,1999
MS-SQL Server 2012 SP4RTW/PCU4,1798
MS-SQL Server 2012 SP1RTW/PCU1,1765
MS-SQL Server 2019 CU32+GDR+,1698
MS-SQL Server 2005 SP3RTW,1685
"MS-SQL Server 2014 ",1405
MS-SQL Server 2008 R2 SP3RTW/PCU3,1329
MS-SQL Server 2017 GDR+,1283
MS-SQL Server 2005 RTM,1272
MS-SQL Server 2012 SP2RTW/PCU2,1178
MS-SQL Server 2008 SP1RTW/PCU 1,1104
MS-SQL Server 2008 R2 SP2,1103
MS-SQL Server,1090
MS-SQL Server 2012 SP4GDR,1027
MS-SQL Server 2016 SP2GDR,974
MS-SQL Server 2016 RTMCU3+GDR+,966
MS-SQL Server 2016 +,952
MS-SQL Server 2016 SP1GDR,948
"MS-SQL Server 2016 ",904
MS-SQL Server 2008 R2 SP1RTW/PCU1,866
MS-SQL Server 2014 SP2GDR,710
MS-SQL Server 2005 SP2,644
MS-SQL Server 2000 SP3/SP3a+,616
MS-SQL Server 2014 SP1GDR,561
MS-SQL Server 2017 CU31+GDR,519
MS-SQL Server 2016 SP3RTW/PCU3+,449
MS-SQL Server 2022 CU24+GDR,370
Microsoft RPC Endpoint Mapper,368
MS-SQL Server 2012 SP3,364
MS-SQL Server 2019 CU28,332
MS-SQL Server 2025 GDR,327
MS-SQL Server 2008 SP3RTW/PCU 3,318
MS-SQL Server 2019 CU32,310
MS-SQL Server 2025 GDR+,297
MS-SQL Server 2012 SP1,266
MS-SQL Server 2016 SP3RTW/PCU3,255
MS-SQL Server 2014 SP3GDR,250
MS-SQL Server 2008 R2 SP1,247
MS-SQL Server 2019 CU18+GDR,246
MS-SQL Server 2012 SP2,241
MS-SQL Server 2008 R2 SP3,227
MS-SQL Server 2019 CU1,224
MS-SQL Server 2008 R2 SP3GDR,201
MS-SQL Server 2022 CU23+,191
MS-SQL Server 2008 SP3+,188
MS-SQL Server 2022 CU18,175
MS-SQL Server 2008 SP3,149
MS-SQL Server 2022 CU17,146
MS-SQL Server 2017 CU31+GDR+,143
MS-SQL Server 2022 CU25,141
MS-SQL Server 2022 CU24+GDR+,140
MS-SQL Server 2016 SP2CU17+GDR,138
MS-SQL Server 2022 CU22,136
MS-SQL Server 2022 CU16,135
MS-SQL Server 2005 SP1,128
MS-SQL Server 2005 SP4,126
MS-SQL Server 2022 CU2,122
MS-SQL Server 2022 CU21,120
MS-SQL Server 2014 SP3CU4+GDR,107
MS-SQL Server 2016 SP1CU15+GDR,106
MS-SQL Server 2014 RTMCU14,103
MS-SQL Server 2019 CU16,100
MS-SQL Server 2022 CU24,99
MS-SQL Server 2022 CU25+,99
MS-SQL Server 2000 SP3/SP3a,98
MS-SQL Server 2017 CU31,98
MS-SQL Server 2022 CU19,98
MS-SQL Server 2022 CU20,94
MS-SQL Server 2022 CU23,92
MS-SQL Server 2019 CU18,88
MS-SQL Server 2022 CU14,88
MS-SQL Server 2016 SP3GDR,85
MS-SQL Server 2019 CU15,82
MS-SQL Server 2019 CU29+GDR,81
MS-SQL Server 2000 RTM+,74
MS-SQL Server 2019 CU21,74
MS-SQL Server 2022 CU15,74
MS-SQL Server 2022 CU11,69
MS-SQL Server 2019 CU26,61
MS-SQL Server 2022 CU15+GDR,61
MS-SQL Server 2022 CU3,61
MS-SQL Server 2022 CU20+GDR,58
MS-SQL Server 2019 CU16+GDR,57
MS-SQL Server 2019 CU20,55
MS-SQL Server 2014 SP1CU13,53
MS-SQL Server 2019 CU25,53
MS-SQL Server 2019 CU30,52
MS-SQL Server 2008 SP2RTW/PCU 2,50
MS-SQL Server 2019 CU8,50
MS-SQL Server 2017 CU27,48
MS-SQL Server 2016 SP2CU17,47
MS-SQL Server 2019 CU17,47
MS-SQL Server 2019 CU24,47
